pygame 2.4.0 (SDL 2.26.4, Python 3.9.21)
episodic_return=0.22112685908497817, episodic_length=200
episodic_return=0.13433042732750838, episodic_length=202
episodic_return=0.25077205653935924, episodic_length=201
episodic_return=0.15671708376965696, episodic_length=200
Warning: trajectory cut off by epoch at 29 steps.
Early stopping at step 30 due to reaching max kl.
episodic_return=0.25182050660842104, episodic_length=203
episodic_return=0.274592112406282, episodic_length=202
episodic_return=0.2321805626147386, episodic_length=204
episodic_return=0.24281780802990854, episodic_length=201
episodic_return=0.20790839393786256, episodic_length=200
episodic_return=0.246253594237702, episodic_length=200
episodic_return=0.2389319035916752, episodic_length=206
episodic_return=0.25462881253933206, episodic_length=201
episodic_return=0.24665680338898233, episodic_length=203
episodic_return=0.22573430890558263, episodic_length=200
episodic_return=0.25042798250974685, episodic_length=201
episodic_return=0.3115995977195514, episodic_length=202
episodic_return=0.24618603595240449, episodic_length=203
episodic_return=0.2665067261630638, episodic_length=201
episodic_return=0.20053921242116463, episodic_length=200
episodic_return=0.25645657942664346, episodic_length=200
episodic_return=0.25078736494128573, episodic_length=203
episodic_return=0.221879410494315, episodic_length=204
episodic_return=0.2593107129328681, episodic_length=200
episodic_return=0.22899771154431367, episodic_length=200
episodic_return=0.18939211366798214, episodic_length=202
episodic_return=0.26880152059754586, episodic_length=204
episodic_return=0.25978713946620435, episodic_length=206
episodic_return=0.2692301798430081, episodic_length=202
episodic_return=0.23214141447985012, episodic_length=202
episodic_return=0.26124681945857114, episodic_length=201
episodic_return=0.23207806941016784, episodic_length=200
episodic_return=0.22669121357936697, episodic_length=201
episodic_return=0.1437726045018374, episodic_length=201
episodic_return=0.18270696359069036, episodic_length=200
episodic_return=0.18417553272555837, episodic_length=202
episodic_return=0.232055132821043, episodic_length=203
episodic_return=0.2058955211008387, episodic_length=201
episodic_return=0.24165132032993356, episodic_length=200
episodic_return=0.20661191588815647, episodic_length=200
episodic_return=0.19191681110786216, episodic_length=204
episodic_return=0.21668694827881993, episodic_length=201
episodic_return=0.2587896062432975, episodic_length=201
episodic_return=0.21390797402473571, episodic_length=200
episodic_return=0.13403596550537056, episodic_length=200
episodic_return=0.19602586377184894, episodic_length=206
episodic_return=0.16514179528255524, episodic_length=201
episodic_return=0.17838077224348425, episodic_length=204
episodic_return=0.2896035533888352, episodic_length=201
episodic_return=0.11849536655538431, episodic_length=200
episodic_return=0.20533769681420852, episodic_length=201
episodic_return=0.23681161633376602, episodic_length=200
episodic_return=0.2417323625474208, episodic_length=202
episodic_return=0.19305266802835036, episodic_length=204
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=0.21382511266688942, episodic_length=201
episodic_return=0.15876881312000857, episodic_length=203
episodic_return=0.17602133735594644, episodic_length=205
episodic_return=0.23379941044456945, episodic_length=200
episodic_return=0.1843353634481215, episodic_length=201
episodic_return=0.2113230999435199, episodic_length=200
episodic_return=0.21511605363761813, episodic_length=200
episodic_return=0.2134786010670652, episodic_length=204
episodic_return=0.18889872129387952, episodic_length=202
episodic_return=0.2541150088989748, episodic_length=200
episodic_return=0.059547228459708154, episodic_length=205
episodic_return=0.20680219659950397, episodic_length=204
Warning: trajectory cut off by epoch at 1 steps.
Early stopping at step 25 due to reaching max kl.
episodic_return=0.22963894710817917, episodic_length=202
episodic_return=0.29397703235565886, episodic_length=204
episodic_return=0.18934148663291897, episodic_length=202
episodic_return=0.2617019201232789, episodic_length=200
episodic_return=0.22386421617312272, episodic_length=203
episodic_return=0.19846431849779303, episodic_length=201
episodic_return=0.25152653764919, episodic_length=201
episodic_return=0.2314991364429838, episodic_length=202
episodic_return=0.20119695291871148, episodic_length=201
episodic_return=0.21865027477034327, episodic_length=202
episodic_return=0.27957465154420474, episodic_length=201
episodic_return=0.28176123462651814, episodic_length=203
episodic_return=0.26230905768414586, episodic_length=204
episodic_return=0.2309514171762819, episodic_length=201
episodic_return=0.18874062712076897, episodic_length=200
episodic_return=0.27428249093633883, episodic_length=200
episodic_return=0.26436165317876503, episodic_length=200
episodic_return=0.2829492718904863, episodic_length=200
episodic_return=0.1875311439610885, episodic_length=202
episodic_return=0.19980083705981047, episodic_length=204
episodic_return=0.20021828872032035, episodic_length=200
episodic_return=0.2407612505901985, episodic_length=200
episodic_return=0.28049549168344673, episodic_length=200
episodic_return=0.2517996094192444, episodic_length=203
episodic_return=0.18454648365709542, episodic_length=201
episodic_return=0.27270886497123836, episodic_length=201
episodic_return=0.2654404145211092, episodic_length=203
episodic_return=0.22318034989760677, episodic_length=201
episodic_return=0.23325837219932796, episodic_length=202
episodic_return=0.25553189705924306, episodic_length=200
episodic_return=0.24846362075528633, episodic_length=200
episodic_return=0.2502055740677389, episodic_length=200
episodic_return=0.3022996235806438, episodic_length=200
episodic_return=0.16452462896397885, episodic_length=204
episodic_return=0.14960789241460562, episodic_length=201
episodic_return=0.2228264324366311, episodic_length=204
episodic_return=0.2696856358293359, episodic_length=202
episodic_return=0.19173407155492822, episodic_length=200
episodic_return=0.29073071792820016, episodic_length=206
episodic_return=0.2934448659554512, episodic_length=201
episodic_return=0.2451180214068858, episodic_length=204
episodic_return=0.2422747857062683, episodic_length=201
episodic_return=0.1639224553447279, episodic_length=205
episodic_return=0.23891350636493663, episodic_length=202
episodic_return=0.22576014044783485, episodic_length=200
episodic_return=0.20368081664067988, episodic_length=208
episodic_return=0.212344369478444, episodic_length=201
episodic_return=0.2547796994046409, episodic_length=208
episodic_return=0.29381732341032657, episodic_length=206
episodic_return=0.24245336219266128, episodic_length=200
episodic_return=0.21925072100333326, episodic_length=202
episodic_return=0.16430967765721066, episodic_length=204
episodic_return=0.16943724010867123, episodic_length=201
episodic_return=0.18059580033217473, episodic_length=200
episodic_return=0.26666153656488095, episodic_length=200
episodic_return=0.2325710963705187, episodic_length=200
episodic_return=0.26205759598676764, episodic_length=202
episodic_return=0.19645878639188696, episodic_length=201
episodic_return=0.27226520252759084, episodic_length=200
episodic_return=0.22299057338590988, episodic_length=201
episodic_return=0.22590131294301746, episodic_length=202
episodic_return=0.2688360347604236, episodic_length=200
episodic_return=0.24262460921930737, episodic_length=201
episodic_return=0.28461786433474573, episodic_length=200
episodic_return=0.28396582027797446, episodic_length=205
Warning: trajectory cut off by epoch at 51 steps.
episodic_return=0.22611846644015868, episodic_length=200
episodic_return=0.2787177085759703, episodic_length=200
episodic_return=0.27139667716140403, episodic_length=205
episodic_return=0.17218195968535707, episodic_length=201
episodic_return=0.271116026909956, episodic_length=201
episodic_return=0.2794212576454835, episodic_length=200
episodic_return=0.2773402400678045, episodic_length=201
episodic_return=0.28149562398343936, episodic_length=200
episodic_return=0.23730765855838407, episodic_length=202
episodic_return=0.2781916792938824, episodic_length=200
episodic_return=0.3118586829755791, episodic_length=201
episodic_return=0.23261850754038796, episodic_length=201
episodic_return=0.23600348041389027, episodic_length=205
episodic_return=0.24218994802556162, episodic_length=202
episodic_return=0.2036735682000752, episodic_length=202
episodic_return=0.22913028870047245, episodic_length=200
episodic_return=0.2845286259469382, episodic_length=202
episodic_return=0.30567562144467153, episodic_length=202
episodic_return=0.20256146448594428, episodic_length=201
episodic_return=0.23381348460123336, episodic_length=201
episodic_return=0.2718847377397063, episodic_length=206
episodic_return=0.29315806833257674, episodic_length=204
episodic_return=0.20424827449323177, episodic_length=200
episodic_return=0.20728702620724151, episodic_length=202
episodic_return=0.22815272888792146, episodic_length=203
episodic_return=0.2668650921019411, episodic_length=200
episodic_return=0.26395525814015836, episodic_length=201
episodic_return=0.27164715975754966, episodic_length=202
episodic_return=0.2849893518040683, episodic_length=205
episodic_return=0.29595354434480403, episodic_length=206
episodic_return=0.2764481652467407, episodic_length=202
episodic_return=0.2258208265393898, episodic_length=200
episodic_return=0.3112109364398384, episodic_length=200
episodic_return=0.28941272455649425, episodic_length=200
episodic_return=0.2382889441320204, episodic_length=202
episodic_return=0.2947819402528916, episodic_length=203
episodic_return=0.27873285825730265, episodic_length=200
episodic_return=0.29029113627047504, episodic_length=204
episodic_return=0.28954435395854455, episodic_length=200
episodic_return=0.2744642358488486, episodic_length=202
episodic_return=0.2407995024707618, episodic_length=201
episodic_return=0.17414064965077403, episodic_length=204
episodic_return=0.2819754830159717, episodic_length=205
episodic_return=0.2562133468702223, episodic_length=200
episodic_return=0.2494395410441843, episodic_length=200
episodic_return=0.26340900519527627, episodic_length=203
episodic_return=0.2814304492947976, episodic_length=200
episodic_return=0.21927681791572468, episodic_length=203
episodic_return=0.25815542784726425, episodic_length=202
episodic_return=0.18382161915095677, episodic_length=200
episodic_return=0.276056424505052, episodic_length=200
episodic_return=0.2898268214082721, episodic_length=202
episodic_return=0.2201733494082132, episodic_length=200
episodic_return=0.29100542944062, episodic_length=205
episodic_return=0.2860496702228217, episodic_length=205
episodic_return=0.2697136461853803, episodic_length=201
episodic_return=0.2565925384335035, episodic_length=205
episodic_return=0.2713606989460164, episodic_length=202
episodic_return=0.19585309754007374, episodic_length=206
episodic_return=0.28372764115875754, episodic_length=202
episodic_return=0.295712386519331, episodic_length=203
episodic_return=0.26263162700199955, episodic_length=201
episodic_return=0.2811856646043375, episodic_length=201
episodic_return=0.2709684054496728, episodic_length=200
episodic_return=0.2614702993550747, episodic_length=202
episodic_return=0.27297215673797504, episodic_length=202
episodic_return=0.3450299008136766, episodic_length=202
Warning: trajectory cut off by epoch at 43 steps.
Early stopping at step 49 due to reaching max kl.
episodic_return=0.20740502371432304, episodic_length=201
episodic_return=0.2975493467649688, episodic_length=207
episodic_return=0.26146891848586384, episodic_length=202
episodic_return=0.3007496947978246, episodic_length=201
episodic_return=0.25417482869708835, episodic_length=203
episodic_return=0.2740422438882756, episodic_length=202
episodic_return=0.2845669552214114, episodic_length=202
episodic_return=0.29974300744800186, episodic_length=203
episodic_return=0.27623045508502286, episodic_length=202
episodic_return=0.2647021095791808, episodic_length=203
episodic_return=0.297298080957763, episodic_length=200
episodic_return=0.29617068896222737, episodic_length=202
episodic_return=0.284140056453114, episodic_length=202
episodic_return=0.2859068819262327, episodic_length=204
episodic_return=0.2992803213078663, episodic_length=204
episodic_return=0.3464104876204824, episodic_length=203
episodic_return=0.29447401196012446, episodic_length=203
episodic_return=0.3243844342958346, episodic_length=200
episodic_return=0.2919292954594231, episodic_length=202
episodic_return=0.25004402858961955, episodic_length=200
episodic_return=0.25778053239181953, episodic_length=200
episodic_return=0.27831538279774587, episodic_length=203
episodic_return=0.2791994522021175, episodic_length=202
episodic_return=0.24901374907281273, episodic_length=202
episodic_return=0.3244267578642919, episodic_length=201
episodic_return=0.28774100232643474, episodic_length=201
episodic_return=0.30553688346094054, episodic_length=201
episodic_return=0.27658515023638575, episodic_length=200
episodic_return=0.27257168509650714, episodic_length=201
episodic_return=0.2831930575009147, episodic_length=202
episodic_return=0.31096520911281517, episodic_length=201
episodic_return=0.24378654021152688, episodic_length=200
episodic_return=0.2644315108967515, episodic_length=201
episodic_return=0.34710452317410073, episodic_length=203
episodic_return=0.3130061531444765, episodic_length=201
episodic_return=0.2816567143290196, episodic_length=200
episodic_return=0.2692690863356724, episodic_length=205
episodic_return=0.3247125093302998, episodic_length=202
episodic_return=0.2723841065032648, episodic_length=201
episodic_return=0.2381812919370927, episodic_length=200
episodic_return=0.2719615726337341, episodic_length=201
episodic_return=0.24652866490606462, episodic_length=205
episodic_return=0.20477956744740658, episodic_length=201
episodic_return=0.28620111006705806, episodic_length=202
episodic_return=0.2666263214083145, episodic_length=201
episodic_return=0.26243836624205436, episodic_length=202
episodic_return=0.2764535834175194, episodic_length=200
episodic_return=0.26476813174976005, episodic_length=201
episodic_return=0.2665095902036307, episodic_length=202
episodic_return=0.3102965399890667, episodic_length=202
episodic_return=0.30415828159767155, episodic_length=204
episodic_return=0.24644967735165682, episodic_length=200
episodic_return=0.30683748797075033, episodic_length=200
episodic_return=0.2319231555540711, episodic_length=203
episodic_return=0.28778781251220426, episodic_length=206
episodic_return=0.2805144414981438, episodic_length=201
episodic_return=0.29465945069882327, episodic_length=200
episodic_return=0.24137187451655565, episodic_length=203
episodic_return=0.2844787506874416, episodic_length=204
episodic_return=0.2941063565053935, episodic_length=203
episodic_return=0.30994044780596886, episodic_length=206
episodic_return=0.26803554529044993, episodic_length=202
episodic_return=0.29222597843624387, episodic_length=200
episodic_return=0.3242354022521063, episodic_length=203
episodic_return=0.23287194713587397, episodic_length=205
episodic_return=0.28943142531268484, episodic_length=204
episodic_return=0.23808321922835132, episodic_length=200
episodic_return=0.33110789316153233, episodic_length=201
episodic_return=0.26777702012655963, episodic_length=202
Warning: trajectory cut off by epoch at 44 steps.
episodic_return=0.2839650102709872, episodic_length=200
episodic_return=0.3133921083424274, episodic_length=200
episodic_return=0.2940619413389608, episodic_length=200
episodic_return=0.29726799732565523, episodic_length=203
episodic_return=0.2747484060083387, episodic_length=202
episodic_return=0.3274971482822023, episodic_length=202
episodic_return=0.2935197954035466, episodic_length=200
episodic_return=0.30485603273407935, episodic_length=200
episodic_return=0.32532097470182525, episodic_length=200
episodic_return=0.28725272365731885, episodic_length=201
episodic_return=0.2973196611043668, episodic_length=200
episodic_return=0.32001548571789906, episodic_length=201
episodic_return=0.315898249714708, episodic_length=201
episodic_return=0.2997994716196436, episodic_length=200
episodic_return=0.3501077768335332, episodic_length=200
episodic_return=0.30084699857943387, episodic_length=202
episodic_return=0.30155192913791334, episodic_length=202
episodic_return=0.32511980821149694, episodic_length=201
episodic_return=0.30582459174473686, episodic_length=202
episodic_return=0.3230506600342032, episodic_length=206
episodic_return=0.2938477448324808, episodic_length=200
episodic_return=0.22863367800321757, episodic_length=202
episodic_return=0.3063279650871573, episodic_length=201
episodic_return=0.27904763047563325, episodic_length=203
episodic_return=0.2980660464941954, episodic_length=202
episodic_return=0.3148278706764242, episodic_length=200
episodic_return=0.3220849303305714, episodic_length=206
episodic_return=0.28402090471458075, episodic_length=200
episodic_return=0.25409397037764, episodic_length=200
episodic_return=0.3191413130991253, episodic_length=202
episodic_return=0.23466573156749612, episodic_length=201
episodic_return=0.3062668439017753, episodic_length=200
episodic_return=0.2760693324459502, episodic_length=201
episodic_return=0.2897542388952212, episodic_length=200
episodic_return=0.28958988177330314, episodic_length=200
episodic_return=0.29030170673746697, episodic_length=200
episodic_return=0.31407342816051537, episodic_length=202
episodic_return=0.2546297552513694, episodic_length=200
episodic_return=0.26199736395572454, episodic_length=200
episodic_return=0.27076763096360534, episodic_length=202
episodic_return=0.3287642610910784, episodic_length=204
episodic_return=0.3275594167338222, episodic_length=204
episodic_return=0.30324155815441217, episodic_length=200
episodic_return=0.30819961260472517, episodic_length=200
episodic_return=0.3102922731620885, episodic_length=201
episodic_return=0.2970194334055495, episodic_length=202
episodic_return=0.27644649558845813, episodic_length=203
episodic_return=0.302522153890026, episodic_length=204
episodic_return=0.32689860364288803, episodic_length=201
episodic_return=0.2563307547691152, episodic_length=200
episodic_return=0.28214016914408285, episodic_length=202
episodic_return=0.3081898143102621, episodic_length=202
episodic_return=0.3530906578169607, episodic_length=204
episodic_return=0.3190525137527912, episodic_length=202
episodic_return=0.3129013671099509, episodic_length=206
episodic_return=0.30751980031578924, episodic_length=200
episodic_return=0.31601295923525063, episodic_length=201
episodic_return=0.31141182997604994, episodic_length=201
episodic_return=0.30295789411191254, episodic_length=202
episodic_return=0.23040724588006153, episodic_length=200
episodic_return=0.32235036135227146, episodic_length=202
episodic_return=0.2634306938364296, episodic_length=201
episodic_return=0.31272436941809073, episodic_length=202
episodic_return=0.2881588798770441, episodic_length=204
episodic_return=0.29970367219871286, episodic_length=202
episodic_return=0.2888158197985165, episodic_length=202
episodic_return=0.2915304579239062, episodic_length=206
episodic_return=0.3327900911858365, episodic_length=201
episodic_return=0.3151505362006436, episodic_length=202
episodic_return=0.28932827787991505, episodic_length=200
episodic_return=0.3200895378789919, episodic_length=202
Warning: trajectory cut off by epoch at 14 steps.
