pygame 2.4.0 (SDL 2.26.4, Python 3.9.21)
episodic_return=-0.028485391102392812, episodic_length=200
episodic_return=-0.020673400156644598, episodic_length=204
episodic_return=0.004221758857329659, episodic_length=204
episodic_return=-0.05678264952289862, episodic_length=208
episodic_return=-0.035647470265134984, episodic_length=203
episodic_return=-0.07133405928661311, episodic_length=200
episodic_return=-0.03364545789355041, episodic_length=201
episodic_return=-0.08673601218906171, episodic_length=201
episodic_return=0.014662669493324614, episodic_length=204
episodic_return=-0.03377809777165979, episodic_length=202
episodic_return=-0.009597717933688237, episodic_length=200
episodic_return=-0.08725866623212404, episodic_length=205
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.05574758545073866, episodic_length=200
episodic_return=-0.08751221877410477, episodic_length=207
episodic_return=-0.08725866623212404, episodic_length=205
episodic_return=0.009264150365494689, episodic_length=202
episodic_return=-0.0873860795698028, episodic_length=206
episodic_return=0.027276096673170776, episodic_length=205
episodic_return=-0.06564252112042644, episodic_length=204
episodic_return=-0.0873860795698028, episodic_length=206
episodic_return=-0.08673601218906171, episodic_length=201
episodic_return=-0.047330929678423256, episodic_length=200
episodic_return=-0.05512111519610856, episodic_length=200
Warning: trajectory cut off by epoch at 43 steps.
episodic_return=0.007675983024879975, episodic_length=202
episodic_return=-0.0873860795698028, episodic_length=206
episodic_return=-0.04229723435158651, episodic_length=200
episodic_return=-0.03836951503975481, episodic_length=202
episodic_return=-0.08725866623212404, episodic_length=205
episodic_return=-0.07382901527761644, episodic_length=208
episodic_return=-0.08686865206717109, episodic_length=202
episodic_return=-0.06472347334328499, episodic_length=202
episodic_return=-0.05316434682521244, episodic_length=200
episodic_return=-0.04675901937382474, episodic_length=201
episodic_return=-0.06973098304340798, episodic_length=204
episodic_return=0.037104118401422706, episodic_length=205
episodic_return=0.007977766030101547, episodic_length=201
episodic_return=0.0033718883880557078, episodic_length=200
episodic_return=-0.07246361172782402, episodic_length=204
episodic_return=0.025170105878351143, episodic_length=201
episodic_return=-0.0873860795698028, episodic_length=206
episodic_return=-0.023337334025323286, episodic_length=205
episodic_return=-0.08725866623212404, episodic_length=205
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.005724983565472043, episodic_length=200
episodic_return=0.07234601908489943, episodic_length=205
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.08686865206717109, episodic_length=202
episodic_return=-0.043178899835022586, episodic_length=200
episodic_return=-0.03954336835563875, episodic_length=200
episodic_return=0.028730446849572305, episodic_length=201
episodic_return=-0.028317131849966173, episodic_length=207
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.06749748089966502, episodic_length=201
episodic_return=-0.06716917262592424, episodic_length=200
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.02711028512437587, episodic_length=203
episodic_return=-0.06526822918849898, episodic_length=208
episodic_return=-0.08763709658636372, episodic_length=208
episodic_return=-0.06559608174426924, episodic_length=202
episodic_return=-0.08699996554649939, episodic_length=203
episodic_return=0.042171998592540755, episodic_length=203
episodic_return=-0.05755318308320739, episodic_length=200
episodic_return=-0.07279395120545647, episodic_length=200
episodic_return=0.05836736935847489, episodic_length=200
episodic_return=0.00047889399987734334, episodic_length=205
episodic_return=0.02437395503473887, episodic_length=204
episodic_return=-0.08673601218906171, episodic_length=201
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.014105773777611318, episodic_length=204
episodic_return=-0.05454178032408422, episodic_length=200
episodic_return=-0.013505675223621979, episodic_length=201
episodic_return=-0.0672027504117398, episodic_length=208
episodic_return=-0.030211513468964998, episodic_length=200
episodic_return=-0.02572154661817931, episodic_length=202
episodic_return=-0.060065407539433235, episodic_length=200
episodic_return=-0.048878367821853314, episodic_length=200
Warning: trajectory cut off by epoch at 33 steps.
episodic_return=-0.05543592436928951, episodic_length=200
episodic_return=-0.07278021077674432, episodic_length=202
episodic_return=0.04632915024538121, episodic_length=201
episodic_return=0.1342677069911102, episodic_length=201
episodic_return=-0.04404302017533829, episodic_length=200
episodic_return=0.009513533916964852, episodic_length=207
episodic_return=-0.04190478076490658, episodic_length=202
episodic_return=0.021025202649809678, episodic_length=200
episodic_return=-0.064233165116339, episodic_length=200
episodic_return=0.030919657795037504, episodic_length=202
episodic_return=0.05667187896567726, episodic_length=202
episodic_return=0.019104622897308885, episodic_length=200
episodic_return=-0.023932067889228102, episodic_length=202
episodic_return=-0.02577888803635522, episodic_length=202
episodic_return=0.01966800994314232, episodic_length=201
episodic_return=0.01955954897394135, episodic_length=200
episodic_return=0.013097713715622062, episodic_length=201
episodic_return=0.07214520207539497, episodic_length=200
episodic_return=-0.028359017941993893, episodic_length=202
episodic_return=-0.0705472134031141, episodic_length=200
episodic_return=0.0014949896616295241, episodic_length=200
episodic_return=-0.024383472699941726, episodic_length=201
episodic_return=-0.08725866623212404, episodic_length=205
episodic_return=0.025031155585122953, episodic_length=201
episodic_return=-0.01280660163362868, episodic_length=201
episodic_return=0.017519712483080367, episodic_length=200
episodic_return=-0.020488903712834766, episodic_length=206
episodic_return=0.030152564014251242, episodic_length=200
episodic_return=-0.06762951482982153, episodic_length=205
episodic_return=-0.018277568297081978, episodic_length=203
episodic_return=0.06657575495739088, episodic_length=202
episodic_return=-0.003934703424794052, episodic_length=206
episodic_return=-0.013178344908008796, episodic_length=203
episodic_return=-0.051926700739817484, episodic_length=201
episodic_return=-0.021036110456789384, episodic_length=200
episodic_return=-0.047586531122671166, episodic_length=208
episodic_return=0.012266149601456947, episodic_length=200
episodic_return=-0.011884823081044132, episodic_length=200
episodic_return=-0.0014562554047162092, episodic_length=200
episodic_return=0.08451646580390094, episodic_length=200
episodic_return=-0.004483468609766183, episodic_length=202
episodic_return=0.01750094113949801, episodic_length=203
episodic_return=0.030678769695122805, episodic_length=201
episodic_return=0.010418276818296615, episodic_length=200
episodic_return=0.05657765665424347, episodic_length=200
episodic_return=0.04449384784315744, episodic_length=202
episodic_return=0.021432151515430105, episodic_length=200
episodic_return=-0.07035521521825296, episodic_length=201
episodic_return=-0.02282026235099904, episodic_length=202
episodic_return=0.09843833845307978, episodic_length=201
episodic_return=0.003599820739191779, episodic_length=203
episodic_return=-0.04724383315299601, episodic_length=200
Warning: trajectory cut off by epoch at 69 steps.
Early stopping at step 15 due to reaching max kl.
episodic_return=0.046836800931017074, episodic_length=206
episodic_return=0.033176730570127155, episodic_length=200
episodic_return=0.05401494816465102, episodic_length=203
episodic_return=-0.08686865206717109, episodic_length=202
episodic_return=0.010554856877385969, episodic_length=201
episodic_return=0.04098964972087846, episodic_length=204
episodic_return=0.11282372295349888, episodic_length=201
episodic_return=-0.019543094278705302, episodic_length=204
episodic_return=0.010256704762228586, episodic_length=201
episodic_return=-0.0017228749576835532, episodic_length=202
episodic_return=0.03340095776487938, episodic_length=203
episodic_return=-0.08673601218906171, episodic_length=201
episodic_return=-0.03954336835563875, episodic_length=200
episodic_return=-0.08712996589103439, episodic_length=204
episodic_return=0.010484044316820602, episodic_length=200
episodic_return=-0.07360466425623288, episodic_length=202
episodic_return=-0.013667059247535696, episodic_length=208
episodic_return=0.014908809516617008, episodic_length=208
episodic_return=0.12830733045662301, episodic_length=208
episodic_return=-0.08673601218906171, episodic_length=201
episodic_return=0.022020574651230203, episodic_length=205
episodic_return=0.035571765561126886, episodic_length=203
episodic_return=0.0904581492107941, episodic_length=203
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.0026236283947457762, episodic_length=201
episodic_return=0.052737934367779876, episodic_length=200
episodic_return=-0.06911639939129476, episodic_length=202
episodic_return=0.06305091589819084, episodic_length=203
episodic_return=0.013375178519975913, episodic_length=202
episodic_return=0.05658478795055872, episodic_length=200
episodic_return=0.039000220861840615, episodic_length=205
episodic_return=0.09059856493760873, episodic_length=206
episodic_return=-0.08673601218906171, episodic_length=201
episodic_return=0.02435996875013927, episodic_length=203
episodic_return=-0.08712996589103439, episodic_length=204
episodic_return=0.10447039364524095, episodic_length=201
episodic_return=0.10360748467773083, episodic_length=206
episodic_return=0.012815800356908392, episodic_length=208
episodic_return=0.1461291364731527, episodic_length=200
episodic_return=0.031439522595136236, episodic_length=201
episodic_return=0.04118786748933761, episodic_length=202
episodic_return=0.018948866970968696, episodic_length=202
episodic_return=0.03751516120898347, episodic_length=200
episodic_return=-0.03140952870914714, episodic_length=202
episodic_return=0.0785910043833046, episodic_length=201
